Municipio,M1_V,M1_a,M1_r,M1_ndR,M1_nd,M1_nm,M2_v,M2_a,M2_r,M2_ndR,M2_nd,M2_nm,M3_v,M3_a,M3_r,M3_ndR,M3_nd,M3_nm,M4_v,M4_a,M4_r,M4_ndR,M4_nd,M4_nm,M5_v,M5_a,M5_r,M5_ndR,M5_nd,M5_nm,M6_v,M6_a,M6_r,M6_ndR,M6_nd,M6_nm,M7_v,M7_a,M7_r,M7_ndR,M7_nd,M7_nm,M8_v,M8_a,M8_r,ndR,M8_nd,M8_nm,T_v,T_a,T_r,T_ndR,T_nd,T_nm
Acatlán,8,3,5,1,0,0,8,2,5,0,1,3,6,2,2,0,0,7,2,8,2,0,2,4,0,5,3,0,1,1,14,2,0,0,0,0,2,5,2,0,1,0,2,4,2,0,0,0,42,31,21,1,5,15
Acaxochitlán,13,0,4,0,0,0,17,0,2,0,0,0,17,0,0,0,0,0,16,2,0,0,0,0,10,0,0,0,0,0,16,0,0,0,0,0,8,2,0,0,0,0,8,0,0,0,0,0,105,4,6,0,0,0
Actopan,9,6,2,0,0,0,11,3,3,0,0,2,7,5,1,0,1,3,10,7,0,0,0,1,7,3,0,0,0,0,14,2,0,0,0,0,6,4,0,0,0,0,7,1,0,0,0,0,71,31,6,0,1,6
Agua Blanca de Iturbide,9,3,3,2,0,0,12,2,3,0,0,2,1,3,5,0,1,7,2,6,3,0,7,0,0,3,6,0,1,0,7,8,1,0,0,0,1,2,5,0,2,0,5,1,2,0,0,0,37,28,28,2,11,9
Ajacuba,10,4,3,0,0,0,16,2,1,0,0,0,3,2,4,0,1,7,6,8,2,0,2,0,3,4,2,0,1,0,11,5,0,0,0,0,7,3,0,0,0,0,6,2,0,0,0,0,62,30,12,0,4,7
Alfajayucan,12,1,4,0,0,0,12,0,7,0,0,0,3,2,4,0,1,7,5,5,1,0,7,0,2,3,4,0,1,0,12,4,0,0,0,0,2,1,6,0,1,0,2,4,2,0,0,0,50,20,28,0,10,7
Almoloya,9,5,3,0,0,0,13,1,5,0,0,0,7,1,2,0,0,7,2,7,3,0,6,0,1,0,8,0,1,0,11,2,3,0,0,0,6,0,3,0,1,0,7,1,0,0,0,0,56,17,27,0,8,7
Apan,3,5,8,1,0,0,7,3,5,1,1,2,6,2,1,0,1,7,4,6,1,0,7,0,1,4,4,0,1,0,3,5,8,0,0,0,5,3,0,0,2,0,2,4,2,0,0,0,31,32,29,2,12,9
Atitalaquia,13,1,3,0,0,0,15,0,1,0,1,2,11,1,4,0,1,0,8,8,0,0,2,0,4,2,4,0,0,0,14,2,0,0,0,0,4,1,3,0,2,0,7,1,0,0,0,0,76,16,15,0,6,2
Atlapexco,11,3,2,1,0,0,11,2,3,0,1,2,5,3,2,0,0,7,4,6,0,0,7,1,1,3,5,0,1,0,6,10,0,0,0,0,5,1,3,0,1,0,7,1,0,0,0,0,50,29,15,1,10,10
Atotonilco de Tula,11,3,3,0,0,0,14,0,5,0,0,0,12,3,1,0,1,0,1,7,2,0,8,0,5,3,1,0,1,0,12,2,2,0,0,0,1,1,6,0,2,0,5,2,1,0,0,0,61,21,21,0,12,0
Atotonilco el Grande,7,8,2,0,0,0,5,4,10,0,0,0,2,4,11,0,0,0,4,10,4,0,0,0,1,6,3,0,0,0,2,6,8,0,0,0,3,3,4,0,0,0,5,2,1,0,0,0,29,43,43,0,0,0
Calnali,3,6,7,1,0,0,6,2,9,1,1,0,2,2,5,0,1,7,2,7,2,0,7,0,2,6,1,0,1,0,3,10,3,0,0,0,0,1,8,0,1,0,3,2,3,0,0,0,21,36,38,2,11,7
Cardonal,13,3,1,0,0,0,12,2,3,0,0,2,3,6,0,0,1,7,3,4,0,0,5,6,0,4,6,0,0,0,10,6,0,0,0,0,2,3,4,0,1,0,8,0,0,0,0,0,51,28,14,0,7,15
Chapantongo,10,3,3,1,0,0,13,3,2,1,0,0,4,4,2,0,0,7,5,4,1,0,5,3,1,5,2,0,1,1,11,5,0,0,0,0,3,4,2,0,1,0,7,0,1,0,0,0,54,28,13,2,7,11
Chapulhuacán,2,10,3,2,0,0,7,2,4,1,3,2,1,0,8,0,1,7,0,2,6,0,10,0,0,0,9,0,1,0,4,2,10,0,0,0,0,0,8,0,2,0,6,0,2,0,0,0,20,16,50,3,17,9
Chilcuautla,10,2,4,1,0,0,8,1,8,0,0,2,3,0,10,0,1,3,2,5,0,0,9,2,4,4,1,0,1,0,13,2,1,0,0,0,8,0,2,0,0,0,5,1,2,0,0,0,53,15,28,1,11,7
Cuautepec de Hinojosa,14,3,0,0,0,0,15,1,3,0,0,0,16,0,0,0,1,0,15,2,0,0,1,0,9,1,0,0,0,0,15,1,0,0,0,0,9,0,0,0,1,0,4,0,2,2,0,0,97,8,5,2,3,0
El Arenal,11,2,4,0,0,0,10,1,5,1,0,2,5,1,3,0,1,7,2,6,3,0,7,0,0,1,8,0,1,0,2,14,0,0,0,0,0,0,8,0,2,0,6,2,0,0,0,0,36,27,31,1,11,9
Eloxochitlán,6,7,2,2,0,0,7,4,6,0,0,2,1,5,10,0,1,0,3,9,0,0,6,0,1,4,4,0,1,0,2,9,5,0,0,0,3,4,1,0,2,0,2,3,2,1,0,0,25,45,30,3,10,2
Emiliano Zapata,2,10,3,2,0,0,13,4,0,0,0,2,1,5,3,0,1,7,3,9,1,0,4,1,1,3,6,0,0,0,1,10,5,0,0,0,2,5,3,0,0,0,4,2,2,0,0,0,27,48,23,2,5,10
Epazoyucan,8,3,6,0,0,0,11,1,4,0,0,3,5,5,0,0,0,7,4,7,1,0,0,6,4,4,1,0,0,1,16,0,0,0,0,0,7,3,0,0,0,0,4,4,0,0,0,0,59,27,12,0,0,17
Francisco I. Madero,12,4,1,0,0,0,15,3,1,0,0,0,2,6,9,0,0,0,4,6,0,0,8,0,2,5,2,0,1,0,9,5,2,0,0,0,8,2,0,0,0,0,4,2,2,0,0,0,56,33,17,0,9,0
Huasca de Ocampo,9,1,6,1,0,0,12,3,4,0,0,0,6,6,1,0,1,3,6,4,1,0,7,0,3,4,2,0,1,0,9,5,2,0,0,0,9,0,0,0,1,0,2,3,3,0,0,0,56,26,19,1,10,3
Huautla,8,5,4,0,0,0,14,1,3,0,1,0,4,3,9,0,1,0,5,10,0,0,3,0,1,7,2,0,0,0,16,0,0,0,0,0,8,2,0,0,0,0,6,1,1,0,0,0,62,29,19,0,5,0
Huazalingo,8,0,4,5,0,0,5,3,3,0,6,2,0,6,10,0,1,0,0,4,4,0,10,0,1,2,6,0,1,0,10,0,6,0,0,0,1,1,6,0,2,0,7,0,1,0,0,0,32,16,40,5,20,2
Huehuetla,7,4,5,1,0,0,5,6,2,0,4,2,8,5,4,0,0,0,9,8,1,0,0,0,4,3,3,0,0,0,6,1,9,0,0,0,3,4,3,0,0,0,4,3,1,0,0,0,46,34,28,1,4,2
Huejutla de Reyes,13,3,1,0,0,0,12,1,4,0,0,2,6,2,1,0,1,7,8,6,0,0,3,1,5,3,1,0,1,0,16,0,0,0,0,0,8,2,0,0,0,0,7,0,1,0,0,0,75,17,8,0,5,10
Huichapan,13,0,4,0,0,0,14,0,1,0,1,3,8,2,0,0,0,7,9,6,1,0,2,0,6,3,1,0,0,0,16,0,0,0,0,0,7,2,1,0,0,0,8,0,0,0,0,0,81,13,8,0,3,10
Ixmiquilpan,9,7,1,0,0,0,12,0,4,0,0,3,2,5,2,0,1,7,2,7,1,0,4,4,0,1,7,0,1,1,6,8,2,0,0,0,4,2,3,0,1,0,8,0,0,0,0,0,43,30,20,0,7,15
Jacala de Ledezma,4,6,5,2,0,0,0,3,8,1,7,0,0,1,15,0,1,0,0,0,8,0,10,0,0,1,8,0,1,0,1,3,12,0,0,0,0,0,8,0,2,0,1,3,2,2,0,0,6,17,66,5,21,0
Jaltocán,9,3,4,1,0,0,7,4,7,1,0,0,0,5,9,0,0,3,4,5,2,0,3,4,1,1,7,0,1,0,4,12,0,0,0,0,1,0,7,0,2,0,6,1,1,0,0,0,32,31,37,2,6,7
Juárez Hidalgo,4,6,6,1,0,0,15,1,2,0,1,0,3,2,11,0,1,0,4,2,2,0,10,0,2,3,4,0,1,0,12,3,1,0,0,0,5,2,2,0,1,0,7,0,1,0,0,0,52,19,29,1,14,0
La Misión,4,6,6,1,0,0,7,3,5,0,1,3,1,3,5,0,1,7,3,7,3,0,1,4,1,1,7,0,0,1,1,9,6,0,0,0,0,2,6,0,2,0,1,3,4,0,0,0,18,34,42,1,5,15
Lolotla,7,4,4,2,0,0,9,4,4,1,1,0,0,4,5,0,1,7,3,5,3,0,7,0,1,5,4,0,0,0,5,9,2,0,0,0,1,2,5,0,2,0,6,2,0,0,0,0,32,35,27,3,11,7
Metepec,4,5,8,0,0,0,17,1,1,0,0,0,1,0,15,0,1,0,0,6,4,0,8,0,1,0,8,0,1,0,3,8,5,0,0,0,2,0,6,0,2,0,7,1,0,0,0,0,35,21,47,0,12,0
Metztitlán,13,2,2,0,0,0,11,1,5,0,0,2,4,3,7,0,0,3,5,10,2,0,1,0,0,3,6,0,1,0,15,1,0,0,0,0,3,1,5,0,1,0,7,0,1,0,0,0,58,21,28,0,3,5
Mineral de la Reforma,17,0,0,0,0,0,15,0,1,0,0,3,12,0,1,0,0,4,13,1,0,0,0,4,8,1,0,0,0,1,16,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,99,2,2,0,0,12
Mineral del Chico,6,4,6,1,0,0,9,1,6,1,0,2,3,1,12,0,1,0,0,2,6,0,10,0,0,1,8,0,1,0,7,6,3,0,0,0,3,3,3,0,1,0,4,1,2,1,0,0,32,19,46,3,13,2
Mineral del Monte,12,1,4,0,0,0,12,1,1,0,2,3,6,2,1,0,1,7,11,2,1,0,0,4,7,2,0,0,0,1,15,1,0,0,0,0,5,3,2,0,0,0,6,2,0,0,0,0,74,14,9,0,3,15
Mixquiahuala de Juárez,2,4,5,6,0,0,6,1,7,0,3,2,4,0,5,0,1,7,3,5,2,0,8,0,2,2,5,0,1,0,2,3,11,0,0,0,0,2,6,0,2,0,5,1,2,0,0,0,24,18,43,6,15,9
Molango de Escamilla,5,2,4,6,0,0,8,3,6,1,1,0,2,1,13,0,1,0,5,2,3,0,8,0,5,2,2,0,1,0,3,4,9,0,0,0,1,4,3,0,2,0,4,1,1,2,0,0,33,19,41,9,13,0
Nicolás Flores,8,6,3,0,0,0,14,0,3,0,0,2,5,3,2,0,0,7,9,6,3,0,0,0,3,2,5,0,0,0,8,3,5,0,0,0,5,0,5,0,0,0,6,0,2,0,0,0,58,20,28,0,0,9
Nopala de Villagrán,8,2,2,5,0,0,4,4,5,1,5,0,5,1,3,0,1,7,4,7,2,0,5,0,3,2,4,0,1,0,12,3,1,0,0,0,5,2,1,0,2,0,3,1,4,0,0,0,44,22,22,6,14,7
Omitlán de Juárez,7,2,8,0,0,0,5,1,10,1,0,2,3,4,9,0,1,0,8,5,3,0,2,0,1,4,4,0,1,0,8,7,1,0,0,0,2,4,2,0,2,0,3,3,2,0,0,0,37,30,39,1,6,2
